BBA: <1,10>; 
CWM: <3,2>; 
CWL: <3,1>; 
CWO: <3,4>; 
CWN: <3,3>; 
CWQ: <3,6>; 
CWP: <3,5>; 
CWS: <3,8>; 
CWR: <3,7>; 
CWU: <3,10>; 
CWT: <3,9>; 
CWW: <3,2>; 
CWV: <3,1>; 
CWY: <3,4>; 
CWX: <3,3>; 
CXB: <3,6>; 
CXA: <3,5>; 
CXD: <3,8>; 
CXC: <3,7>; 
CXF: <3,10>; 
CXE: <3,9>; 
CXH: <3,2>; 
CXG: <3,1>; 
CXJ: <3,4>; 
CXI: <3,3>; 
CXL: <3,6>; 
CXK: <3,5>; 
CXN: <3,8>; 
CXM: <3,7>; 
CXP: <3,10>; 
CXO: <3,9>; 
CXR: <3,2>; 
CXQ: <3,1>; 
CXT: <3,4>; 
CXS: <3,3>; 
CXV: <3,6>; 
CXU: <3,5>; 
CXX: <3,8>; 
CXW: <3,7>; 
CXY: <3,9>; 
CYA: <3,10>; 
CYC: <3,2>; 
CYB: <3,1>; 
CYE: <3,4>; 
CYD: <3,3>; 
CYG: <3,6>; 
CYF: <3,5>; 
CYI: <3,8>; 
CYH: <3,7>; 
CYK: <3,10>; 
CYJ: <3,9>; 
CYM: <3,2>; 
CYL: <3,1>; 
CYO: <3,4>; 
CYN: <3,3>; 
CYQ: <3,6>; 
CYP: <3,5>; 
CYS: <3,8>; 
CYR: <3,7>; 
CYU: <3,10>; 
CYT: <3,9>; 
CYW: <3,2>; 
CYV: <3,1>; 
CYY: <3,4>; 
CYX: <3,3>; 
DAB: <3,6>; 
DAA: <3,5>; 
DAD: <3,8>; 
DAC: <3,7>; 
DAF: <3,10>; 
DAE: <3,9>; 
DAH: <3,2>; 
DAG: <3,1>; 
DAJ: <3,4>; 
DAI: <3,3>; 
DAL: <3,6>; 
DAK: <3,5>; 
DAN: <3,8>; 
DAM: <3,7>; 
DAP: <3,10>; 
DAO: <3,9>; 
DAR: <3,2>; 
DAQ: <3,1>; 
DAT: <3,4>; 
DAS: <3,3>; 
DAV: <3,6>; 
DAU: <3,5>; 
DAX: <3,8>; 
DAW: <3,7>; 
DAY: <3,9>; 
DBA: <3,10>; 
DBC: <3,2>; 
DBB: <3,1>; 
DBE: <3,4>; 
DBD: <3,3>; 
DBG: <3,6>; 
DBF: <3,5>; 
DBI: <3,8>; 
DBH: <3,7>; 
DBK: <3,10>; 
DBJ: <3,9>; 
DBM: <3,2>; 
DBL: <3,1>; 
DBO: <3,4>; 
DBN: <3,3>; 
DBQ: <3,6>; 
DBP: <3,5>; 
DBS: <3,8>; 
DBR: <3,7>; 
DBU: <3,10>; 
DBT: <3,9>; 
DBW: <3,2>; 
DBV: <3,1>; 
DBY: <3,4>; 
DBX: <3,3>; 
DCB: <3,6>; 
DCA: <3,5>; 
DCD: <3,8>; 
DCC: <3,7>; 
DCF: <3,10>; 
DCE: <3,9>; 
DCH: <3,2>; 
DCG: <3,1>; 
DCJ: <3,4>; 
DCI: <3,3>; 
DCL: <3,6>; 
DCK: <3,5>; 
DCN: <3,8>; 
DCM: <3,7>; 
DCP: <3,10>; 
DCO: <3,9>; 
DCR: <3,2>; 
DCQ: <3,1>; 
DCT: <3,4>; 
DCS: <3,3>; 
DCV: <3,6>; 
DCU: <3,5>; 
DCX: <3,8>; 
DCW: <3,7>; 
DCY: <3,9>; 
DDA: <3,10>; 
DDC: <3,2>; 
DDB: <3,1>; 
DDE: <3,4>; 
DDD: <3,3>; 
DDG: <3,6>; 
DDF: <3,5>; 
DDI: <3,8>; 
DDH: <3,7>; 
DDK: <3,10>; 
DDJ: <3,9>; 
DDM: <3,2>; 
DDL: <3,1>; 
DDO: <3,4>; 
DDN: <3,3>; 
DDQ: <3,6>; 
DDP: <3,5>; 
DDS: <3,8>; 
DDR: <3,7>; 
DDU: <3,10>; 
DDT: <3,9>; 
DDW: <3,2>; 
DDV: <3,1>; 
DDY: <3,4>; 
DDX: <3,3>; 
DEB: <3,6>; 
DEA: <3,5>; 
DED: <3,8>; 
DEC: <3,7>; 
DEF: <3,10>; 
DEE: <3,9>; 
DEH: <3,2>; 
DEG: <3,1>; 
DEJ: <3,4>; 
DEI: <3,3>; 
DEL: <3,6>; 
DEK: <3,5>; 
DEN: <3,8>; 
DEM: <3,7>; 
DEP: <3,10>; 
DEO: <3,9>; 
DER: <3,2>; 
DEQ: <3,1>; 
DET: <3,4>; 
DES: <3,3>; 
DEV: <3,6>; 
DEU: <3,5>; 
DEX: <3,8>; 
DEW: <3,7>; 
DEY: <3,9>; 
DFA: <3,10>; 
DFC: <4,2>; 
DFB: <4,1>; 
DFE: <4,4>; 
DFD: <4,3>; 
DFG: <4,6>; 
DFF: <4,5>; 
DFI: <4,8>; 
DFH: <4,7>; 
DFK: <4,10>; 
DFJ: <4,9>; 
DFM: <4,2>; 
DFL: <4,1>; 
DFO: <4,4>; 
DFN: <4,3>; 
DFQ: <4,6>; 
DFP: <4,5>; 
DFS: <4,8>; 
DFR: <4,7>; 
DFU: <4,10>; 
DFT: <4,9>; 
DFW: <4,2>; 
DFV: <4,1>; 
DFY: <4,4>; 
DFX: <4,3>; 
DGB: <4,6>; 
DGA: <4,5>; 
DGD: <4,8>; 
DGC: <4,7>; 
DGF: <4,10>; 
DGE: <4,9>; 
DGH: <4,2>; 
DGG: <4,1>; 
DGJ: <4,4>; 
DGI: <4,3>; 
DGL: <4,6>; 
DGK: <4,5>; 
DGN: <4,8>; 
DGM: <4,7>; 
DGP: <4,10>; 
DGO: <4,9>; 
DGR: <4,2>; 
DGQ: <4,1>; 
DGT: <4,4>; 
DGS: <4,3>; 
DGV: <4,6>; 
DGU: <4,5>; 
DGX: <4,8>; 
DGW: <4,7>; 
DGY: <4,9>; 
DHA: <4,10>; 
DHC: <4,2>; 
DHB: <4,1>; 
DHE: <4,4>; 
DHD: <4,3>; 
DHG: <4,6>; 
DHF: <4,5>; 
DHI: <4,8>; 
DHH: <4,7>; 
DHK: <4,10>; 
DHJ: <4,9>; 
DHM: <4,2>; 
DHL: <4,1>; 
DHO: <4,4>; 
DHN: <4,3>; 
DHQ: <4,6>; 
DHP: <4,5>; 
DHS: <4,8>; 
DHR: <4,7>; 
DHU: <4,10>; 
DHT: <4,9>; 
DHW: <4,2>; 
DHV: <4,1>; 
DHY: <4,4>; 
DHX: <4,3>; 
DIB: <4,6>; 
DIA: <4,5>; 
DID: <4,8>; 
DIC: <4,7>; 
DIF: <4,10>; 
DIE: <4,9>; 
DIH: <4,2>; 
DIG: <4,1>; 
DIJ: <4,4>; 
DII: <4,3>; 
DIL: <4,6>; 
DIK: <4,5>; 
DIN: <4,8>; 
DIM: <4,7>; 
DIP: <4,10>; 
DIO: <4,9>; 
DIR: <4,2>; 
DIQ: <4,1>; 
DIT: <4,4>; 
DIS: <4,3>; 
DIV: <4,6>; 
DIU: <4,5>; 
DIX: <4,8>; 
DIW: <4,7>; 
DIY: <4,9>; 
DJA: <4,10>; 
DJC: <4,2>; 
DJB: <4,1>; 
DJE: <4,4>; 
DJD: <4,3>; 
DJG: <4,6>; 
DJF: <4,5>; 
DJI: <4,8>; 
DJH: <4,7>; 
DJK: <4,10>; 
DJJ: <4,9>; 
DJM: <4,2>; 
DJL: <4,1>; 
DJO: <4,4>; 
DJN: <4,3>; 
DJQ: <4,6>; 
DJP: <4,5>; 
DJS: <4,8>; 
DJR: <4,7>; 
DJU: <4,10>; 
DJT: <4,9>; 
DJW: <4,2>; 
DJV: <4,1>; 
DJY: <4,4>; 
DJX: <4,3>; 
DKB: <4,6>; 
DKA: <4,5>; 
DKD: <4,8>; 
DKC: <4,7>; 
DKF: <4,10>; 
DKE: <4,9>; 
DKH: <4,2>; 
DKG: <4,1>; 
DKJ: <4,4>; 
DKI: <4,3>; 
DKL: <4,6>; 
DKK: <4,5>; 
DKN: <4,8>; 
DKM: <4,7>; 
DKP: <4,10>; 
DKO: <4,9>; 
DKR: <4,2>; 
DKQ: <4,1>; 
DKT: <4,4>; 
DKS: <4,3>; 
DKV: <4,6>; 
DKU: <4,5>; 
DKX: <4,8>; 
DKW: <4,7>; 
DKY: <4,9>; 
DLA: <4,10>; 
DLC: <4,2>; 
DLB: <4,1>; 
DLE: <4,4>; 
DLD: <4,3>; 
DLG: <4,6>; 
DLF: <4,5>; 
DLI: <4,8>; 
DLH: <4,7>; 
DLK: <4,10>; 
DLJ: <4,9>; 
DLM: <4,2>; 
DLL: <4,1>; 
DLO: <4,4>; 
DLN: <4,3>; 
DLQ: <4,6>; 
DLP: <4,5>; 
DLS: <4,8>; 
DLR: <4,7>; 
DLU: <4,10>; 
DLT: <4,9>; 
DLW: <4,2>; 
DLV: <4,1>; 
DLY: <4,4>; 
DLX: <4,3>; 
DMB: <4,6>; 
DMA: <4,5>; 
DMD: <4,8>; 
DMC: <4,7>; 
DMF: <4,10>; 
DME: <4,9>; 
DMH: <4,2>; 
DMG: <4,1>; 
DMJ: <4,4>; 
DMI: <4,3>; 
DML: <4,6>; 
DMK: <4,5>; 
DMN: <4,8>; 
DMM: <4,7>; 
DMP: <4,10>; 
DMO: <4,9>; 
DMR: <4,2>; 
DMQ: <4,1>; 
DMT: <4,4>; 
DMS: <4,3>; 
DMV: <4,6>; 
DMU: <4,5>; 
DMX: <4,8>; 
DMW: <4,7>; 
DMY: <4,9>; 
DNA: <4,10>; 
DNC: <4,2>; 
DNB: <4,1>; 
DNE: <4,4>; 
DND: <4,3>; 
DNG: <4,6>; 
DNF: <4,5>; 
DNI: <4,8>; 
DNH: <4,7>; 
DNK: <4,10>; 
DNJ: <4,9>; 
DNM: <4,2>; 
DNL: <4,1>; 
DNO: <4,4>; 
DNN: <4,3>; 
DNQ: <4,6>; 
DNP: <4,5>; 
DNS: <4,8>; 
DNR: <4,7>; 
DNU: <4,10>; 
DNT: <4,9>; 
DNW: <4,2>; 
DNV: <4,1>; 
DNY: <4,4>; 
DNX: <4,3>; 
DOB: <4,6>; 
DOA: <4,5>; 
DOD: <4,8>; 
DOC: <4,7>; 
DOF: <4,10>; 
DOE: <4,9>; 
DOH: <4,2>; 
DOG: <4,1>; 
DOJ: <4,4>; 
DOI: <4,3>; 
DOL: <4,6>; 
DOK: <4,5>; 
DON: <4,8>; 
DOM: <4,7>; 
DOP: <4,10>; 
DOO: <4,9>; 
DOR: <4,2>; 
DOQ: <4,1>; 
DOT: <4,4>; 
DOS: <4,3>; 
DOV: <4,6>; 
DOU: <4,5>; 
DOX: <4,8>; 
DOW: <4,7>; 
DOY: <4,9>; 
DPA: <4,10>; 
DPC: <4,2>; 
DPB: <4,1>; 
DPE: <4,4>; 
DPD: <4,3>; 
DPG: <4,6>; 
DPF: <4,5>; 
DPI: <4,8>; 
DPH: <4,7>; 
DPK: <4,10>; 
DPJ: <4,9>; 
DPM: <4,2>; 
DPL: <4,1>; 
DPO: <4,4>; 
DPN: <4,3>; 
DPQ: <4,6>; 
DPP: <4,5>; 
DPS: <4,8>; 
DPR: <4,7>; 
DPU: <4,10>; 
DPT: <4,9>; 
DPW: <4,2>; 
DPV: <4,1>; 
DPY: <4,4>; 
DPX: <4,3>; 
DQB: <4,6>; 
DQA: <4,5>; 
DQD: <4,8>; 
DQC: <4,7>; 
DQF: <4,10>; 
DQE: <4,9>; 
DQH: <4,2>; 
DQG: <4,1>; 
DQJ: <4,4>; 
DQI: <4,3>; 
DQL: <4,6>; 
DQK: <4,5>; 
DQN: <4,8>; 
DQM: <4,7>; 
DQP: <4,10>; 
DQO: <4,9>; 
DQR: <4,2>; 
DQQ: <4,1>; 
DQT: <4,4>; 
DQS: <4,3>; 
DQV: <4,6>; 
DQU: <4,5>; 
DQX: <4,8>; 
DQW: <4,7>; 
DQY: <4,9>; 
DRA: <4,10>; 
DRC: <4,2>; 
DRB: <4,1>; 
DRE: <4,4>; 
DRD: <4,3>; 
DRG: <4,6>; 
DRF: <4,5>; 
DRI: <4,8>; 
DRH: <4,7>; 
DRK: <4,10>; 
DRJ: <4,9>; 
DRM: <4,2>; 
DRL: <4,1>; 
DRO: <4,4>; 
DRN: <4,3>; 
DRQ: <4,6>; 
DRP: <4,5>; 
DRS: <4,8>; 
DRR: <4,7>; 
DRU: <4,10>; 
DRT: <4,9>; 
DRW: <4,2>; 
DRV: <4,1>; 
DRY: <4,4>; 
DRX: <4,3>; 
DSB: <4,6>; 
DSA: <4,5>; 
DSD: <4,8>; 
DSC: <4,7>; 
DSF: <4,10>; 
DSE: <4,9>; 
DSH: <4,2>; 
DSG: <4,1>; 
DSJ: <4,4>; 
DSI: <4,3>; 
DSL: <4,6>; 
DSK: <4,5>; 
DSN: <4,8>; 
DSM: <4,7>; 
DSP: <4,10>; 
DSO: <4,9>; 
DSR: <4,2>; 
DSQ: <4,1>; 
DST: <4,4>; 
DSS: <4,3>; 
DSV: <4,6>; 
DSU: <4,5>; 
DSX: <4,8>; 
DSW: <4,7>; 
DSY: <4,9>; 
DTA: <4,10>; 
DTC: <4,2>; 
DTB: <4,1>; 
DTE: <4,4>; 
DTD: <4,3>; 
DTG: <4,6>; 
DTF: <4,5>; 
DTI: <4,8>; 
DTH: <4,7>; 
DTK: <4,10>; 
DTJ: <4,9>; 
DTM: <4,2>; 
DTL: <4,1>; 
DTO: <4,4>; 
DTN: <4,3>; 
DTQ: <4,6>; 
DTP: <4,5>; 
DTS: <4,8>; 
DTR: <4,7>; 
DTU: <4,10>; 
DTT: <4,9>; 
DTW: <4,2>; 
DTV: <4,1>; 
DTY: <4,4>; 
DTX: <4,3>; 
DUB: <4,6>; 
DUA: <4,5>; 
DUD: <4,8>; 
DUC: <4,7>; 
DUF: <4,10>; 
DUE: <4,9>; 
DUH: <4,2>; 
DUG: <4,1>; 
DUJ: <4,4>; 
DUI: <4,3>; 
DUL: <4,6>; 
DUK: <4,5>; 
DUN: <4,8>; 
DUM: <4,7>; 
DUP: <4,10>; 
DUO: <4,9>; 
DUR: <4,2>; 
DUQ: <4,1>; 
DUT: <4,4>; 
DUS: <4,3>; 
DUV: <4,6>; 
DUU: <4,5>; 
DUX: <4,8>; 
DUW: <4,7>; 
DUY: <4,9>; 
DVA: <4,10>; 
DVC: <4,2>; 
DVB: <4,1>; 
DVE: <4,4>; 
DVD: <4,3>; 
DVG: <4,6>; 
DVF: <4,5>; 
DVI: <4,8>; 
DVH: <4,7>; 
DVK: <4,10>; 
DVJ: <4,9>; 
DVM: <4,2>; 
DVL: <4,1>; 
DVO: <4,4>; 
DVN: <4,3>; 
DVQ: <4,6>; 
DVP: <4,5>; 
DVS: <4,8>; 
DVR: <4,7>; 
DVU: <4,10>; 
DVT: <4,9>; 
DVW: <4,2>; 
DVV: <4,1>; 
DVY: <4,4>; 
DVX: <4,3>; 
DWB: <4,6>; 
DWA: <4,5>; 
DWD: <4,8>; 
DWC: <4,7>; 
DWF: <4,10>; 
DWE: <4,9>; 
DWH: <4,2>; 
DWG: <4,1>; 
DWJ: <4,4>; 
DWI: <4,3>; 
DWL: <4,6>; 
DWK: <4,5>; 
DWN: <4,8>; 
DWM: <4,7>; 
DWP: <4,10>; 
DWO: <4,9>; 
DWR: <4,2>; 
DWQ: <4,1>; 
DWT: <4,4>; 
DWS: <4,3>; 
DWV: <4,6>; 
DWU: <4,5>; 
DWX: <4,8>; 
DWW: <4,7>; 
DWY: <4,9>; 
DXA: <4,10>; 
DXC: <4,2>; 
DXB: <4,1>; 
DXE: <4,4>; 
DXD: <4,3>; 
DXG: <4,6>; 
DXF: <4,5>; 
DXI: <4,8>; 
DXH: <4,7>; 
DXK: <4,10>; 
DXJ: <4,9>; 
DXM: <4,2>; 
DXL: <4,1>; 
DXO: <4,4>; 
DXN: <4,3>; 
DXQ: <4,6>; 
DXP: <4,5>; 
DXS: <4,8>; 
DXR: <4,7>; 
DXU: <4,10>; 
DXT: <4,9>; 
DXW: <4,2>; 
DXV: <4,1>; 
DXY: <4,4>; 
DXX: <4,3>; 
DYB: <4,6>; 
DYA: <4,5>; 
DYD: <4,8>; 
DYC: <4,7>; 
DYF: <4,10>; 
DYE: <4,9>; 
DYH: <4,2>; 
DYG: <4,1>; 
DYJ: <4,4>; 
DYI: <4,3>; 
DYL: <4,6>; 
DYK: <4,5>; 
DYN: <4,8>; 
DYM: <4,7>; 
DYP: <4,10>; 
DYO: <4,9>; 
DYR: <4,2>; 
DYQ: <4,1>; 
DYT: <4,4>; 
DYS: <4,3>; 
DYV: <4,6>; 
DYU: <4,5>; 
DYX: <4,8>; 
DYW: <4,7>; 
DYY: <4,9>; 
EAA: <4,10>; 
EAC: <5,2>; 
EAB: <5,1>; 
EAE: <5,4>; 
EAD: <5,3>; 
EAG: <5,6>; 
EAF: <5,5>; 
EAI: <5,8>; 
EAH: <5,7>; 
EAK: <5,10>; 
EAJ: <5,9>; 
EAM: <5,2>; 
EAL: <5,1>; 
EAO: <5,4>; 
EAN: <5,3>; 
EAQ: <5,6>; 
EAP: <5,5>; 
EAS: <5,8>; 
EAR: <5,7>; 
EAU: <5,10>; 
EAT: <5,9>; 
EAW: <5,2>; 
EAV: <5,1>; 
EAY: <5,4>; 
EAX: <5,3>; 
EBB: <5,6>; 
EBA: <5,5>; 
EBD: <5,8>; 
EBC: <5,7>; 
EBF: <5,10>; 
EBE: <5,9>; 
EBH: <5,2>; 
EBG: <5,1>; 
EBJ: <5,4>; 
EBI: <5,3>; 
EBL: <5,6>; 
EBK: <5,5>; 
EBN: <5,8>; 
EBM: <5,7>; 
EBP: <5,10>; 
EBO: <5,9>; 
EBR: <5,2>; 
EBQ: <5,1>; 
EBT: <5,4>; 
EBS: <5,3>; 
EBV: <5,6>; 
EBU: <5,5>; 
EBX: <5,8>; 
EBW: <5,7>; 
EBY: <5,9>; 
ECA: <5,10>; 
ECC: <5,2>; 
ECB: <5,1>; 
ECE: <5,4>; 
ECD: <5,3>; 
ECG: <5,6>; 
ECF: <5,5>; 
ECI: <5,8>; 
ECH: <5,7>; 
ECK: <5,10>; 
ECJ: <5,9>; 
ECM: <5,2>; 
ECL: <5,1>; 
ECO: <5,4>; 
ECN: <5,3>; 
ECQ: <5,6>; 
ECP: <5,5>; 
ECS: <5,8>; 
ECR: <5,7>; 
ECU: <5,10>; 
ECT: <5,9>; 
ECW: <5,2>; 
ECV: <5,1>; 
ECY: <5,4>; 
ECX: <5,3>; 
EDB: <5,6>; 
EDA: <5,5>; 
EDD: <5,8>; 
EDC: <5,7>; 
EDF: <5,10>; 
EDE: <5,9>; 
EDH: <5,2>; 
EDG: <5,1>; 
EDJ: <5,4>; 
EDI: <5,3>; 
EDL: <5,6>; 
EDK: <5,5>; 
EDN: <5,8>; 
EDM: <5,7>; 
EDP: <5,10>; 
EDO: <5,9>; 
EDR: <5,2>; 
EDQ: <5,1>; 
EDT: <5,4>; 
EDS: <5,3>; 
EDV: <5,6>; 
EDU: <5,5>; 
EDX: <5,8>; 
EDW: <5,7>; 
EDY: <5,9>; 
EEA: <5,10>; 
EEC: <5,2>; 
EEB: <5,1>; 
EEE: <5,4>; 
EED: <5,3>; 
EEG: <5,6>; 
EEF: <5,5>; 
EEI: <5,8>; 
EEH: <5,7>; 
EEK: <5,10>; 
EEJ: <5,9>; 
EEM: <5,2>; 
EEL: <5,1>; 
EEO: <5,4>; 
EEN: <5,3>; 
EEQ: <5,6>; 
EEP: <5,5>; 
EES: <5,8>; 
EER: <5,7>; 
EEU: <5,10>; 
EET: <5,9>; 
EEW: <5,2>; 
EEV: <5,1>; 
EEY: <5,4>; 
EEX: <5,3>; 
EFB: <5,6>; 
EFA: <5,5>; 
EFD: <5,8>; 
EFC: <5,7>; 
EFF: <5,10>; 
EFE: <5,9>; 
EFH: <5,2>; 
EFG: <5,1>; 
EFJ: <5,4>; 
EFI: <5,3>; 
EFL: <5,6>; 
EFK: <5,5>; 
EFN: <5,8>; 
EFM: <5,7>; 
EFP: <5,10>; 
EFO: <5,9>; 
EFR: <5,2>; 
EFQ: <5,1>; 
EFT: <5,4>; 
EFS: <5,3>; 
EFV: <5,6>; 
EFU: <5,5>; 
EFX: <5,8>; 
EFW: <5,7>; 
EFY: <5,9>; 
EGA: <5,10>; 
EGC: <5,2>; 
EGB: <5,1>; 
EGE: <5,4>; 
EGD: <5,3>; 
EGG: <5,6>; 
EGF: <5,5>; 
EGI: <5,8>; 
EGH: <5,7>; 
EGK: <5,10>; 
EGJ: <5,9>; 
EGM: <5,2>; 
EGL: <5,1>; 
EGO: <5,4>; 
EGN: <5,3>; 
EGQ: <5,6>; 
EGP: <5,5>; 
EGS: <5,8>; 
EGR: <5,7>; 
EGU: <5,10>; 
EGT: <5,9>; 
EGW: <5,2>; 
EGV: <5,1>; 
EGY: <5,4>; 
EGX: <5,3>; 
EHB: <5,6>; 
EHA: <5,5>; 
EHD: <5,8>; 
EHC: <5,7>; 
EHF: <5,10>; 
EHE: <5,9>; 
EHH: <5,2>; 
EHG: <5,1>; 
EHJ: <5,4>; 
EHI: <5,3>; 
EHL: <5,6>; 
EHK: <5,5>; 
EHN: <5,8>; 
EHM: <5,7>; 
EHP: <5,10>; 
EHO: <5,9>; 
EHR: <5,2>; 
EHQ: <5,1>; 
EHT: <5,4>; 
EHS: <5,3>; 
EHV: <5,6>; 
EHU: <5,5>; 
EHX: <5,8>; 
EHW: <5,7>; 
EHY: <5,9>; 
EIA: <5,10>; 
EIC: <5,2>; 
EIB: <5,1>; 
EIE: <5,4>; 
EID: <5,3>; 
EIG: <5,6>; 
EIF: <5,5>; 
EII: <5,8>; 
EIH: <5,7>; 
EIK: <5,10>; 
EIJ: <5,9>; 
EIM: <5,2>; 
EIL: <5,1>; 
EIO: <5,4>; 
EIN: <5,3>; 
EIQ: <5,6>; 
EIP: <5,5>; 
EIS: <5,8>; 
EIR: <5,7>; 
EIU: <5,10>; 
EIT: <5,9>; 
EIW: <5,2>; 
EIV: <5,1>; 
EIY: <5,4>; 
EIX: <5,3>; 
EJB: <5,6>; 
EJA: <5,5>; 
EJD: <5,8>; 
EJC: <5,7>; 
EJF: <5,10>; 
EJE: <5,9>; 
EJH: <5,2>; 
EJG: <5,1>; 
EJJ: <5,4>; 
EJI: <5,3>; 
EJL: <5,6>; 
EJK: <5,5>; 
EJN: <5,8>; 
EJM: <5,7>; 
EJP: <5,10>; 
EJO: <5,9>; 
EJR: <5,2>; 
EJQ: <5,1>; 
EJT: <5,4>; 
EJS: <5,3>; 
EJV: <5,6>; 
EJU: <5,5>; 
EJX: <5,8>; 
EJW: <5,7>; 
EJY: <5,9>; 
EKA: <5,10>; 
EKC: <5,2>; 
EKB: <5,1>; 
EKE: <5,4>; 
EKD: <5,3>; 
EKG: <5,6>; 
EKF: <5,5>; 
EKI: <5,8>; 
EKH: <5,7>; 
EKK: <5,10>; 
EKJ: <5,9>; 
EKM: <5,2>; 
EKL: <5,1>; 
EKO: <5,4>; 
EKN: <5,3>; 
EKQ: <5,6>; 
EKP: <5,5>; 
EKS: <5,8>; 
EKR: <5,7>; 
EKU: <5,10>; 
EKT: <5,9>; 
EKW: <5,2>; 
EKV: <5,1>; 
EKY: <5,4>; 
EKX: <5,3>; 
ELB: <5,6>; 
ELA: <5,5>; 
ELD: <5,8>; 
ELC: <5,7>; 
ELF: <5,10>; 
ELE: <5,9>; 
ELH: <5,2>; 
ELG: <5,1>; 
ELJ: <5,4>; 
ELI: <5,3>; 
ELL: <5,6>; 
ELK: <5,5>; 
ELN: <5,8>; 
ELM: <5,7>; 
ELP: <5,10>; 
ELO: <5,9>; 
ELR: <5,2>; 
ELQ: <5,1>; 
ELT: <5,4>; 
ELS: <5,3>; 
ELV: <5,6>; 
ELU: <5,5>; 
ELX: <5,8>; 
ELW: <5,7>; 
ELY: <5,9>; 
EMA: <5,10>; 
EMC: <5,2>; 
EMB: <5,1>; 
EME: <5,4>; 
EMD: <5,3>; 
EMG: <5,6>; 
EMF: <5,5>; 
EMI: <5,8>; 
EMH: <5,7>; 
EMK: <5,10>; 
EMJ: <5,9>; 
EMM: <5,2>; 
EML: <5,1>; 
EMO: <5,4>; 
EMN: <5,3>; 
EMQ: <5,6>; 
EMP: <5,5>; 
EMS: <5,8>; 
EMR: <5,7>; 
EMU: <5,10>; 
EMT: <5,9>; 
EMW: <5,2>; 
EMV: <5,1>; 
EMY: <5,4>; 
EMX: <5,3>; 
ENB: <5,6>; 
ENA: <5,5>; 
END: <5,8>; 
ENC: <5,7>; 
ENF: <5,10>; 
ENE: <5,9>; 
ENH: <5,2>; 
ENG: <5,1>; 
ENJ: <5,4>; 
ENI: <5,3>; 
ENL: <5,6>; 
ENK: <5,5>; 
ENN: <5,8>; 
ENM: <5,7>; 
ENP: <5,10>; 
ENO: <5,9>; 
ENR: <5,2>; 
ENQ: <5,1>; 
ENT: <5,4>; 
ENS: <5,3>; 
ENV: <5,6>; 
ENU: <5,5>; 
ENX: <5,8>; 
ENW: <5,7>; 
ENY: <5,9>; 
EOA: <5,10>; 
EOC: <5,2>; 
EOB: <5,1>; 
EOE: <5,4>; 
EOD: <5,3>; 
EOG: <5,6>; 
EOF: <5,5>; 
EOI: <5,8>; 
EOH: <5,7>; 
EOK: <5,10>; 
EOJ: <5,9>; 
EOM: <5,2>; 
EOL: <5,1>; 
EOO: <5,4>; 
EON: <5,3>; 
EOQ: <5,6>; 
EOP: <5,5>; 
EOS: <5,8>; 
EOR: <5,7>; 
EOU: <5,10>; 
EOT: <5,9>; 
EOW: <5,2>; 
EOV: <5,1>; 
EOY: <5,4>; 
EOX: <5,3>; 
EPB: <5,6>; 
EPA: <5,5>; 
EPD: <5,8>; 
EPC: <5,7>; 
EPF: <5,10>; 
EPE: <5,9>; 
EPH: <5,2>; 
EPG: <5,1>; 
EPJ: <5,4>; 
EPI: <5,3>; 
EPL: <5,6>; 
EPK: <5,5>; 
EPN: <5,8>; 
EPM: <5,7>; 
EPP: <5,10>; 
EPO: <5,9>; 
EPR: <5,2>; 
EPQ: <5,1>; 
EPT: <5,4>; 
EPS: <5,3>; 
EPV: <5,6>; 
EPU: <5,5>; 
EPX: <5,8>; 
EPW: <5,7>; 
EPY: <5,9>; 
EQA: <5,10>; 
EQC: <5,2>; 
EQB: <5,1>; 
EQE: <5,4>; 
EQD: <5,3>; 
EQG: <5,6>; 
EQF: <5,5>; 
EQI: <5,8>; 
EQH: <5,7>; 
EQK: <5,10>; 
EQJ: <5,9>; 
EQM: <5,2>; 
EQL: <5,1>; 
EQO: <5,4>; 
EQN: <5,3>; 
EQQ: <5,6>; 
EQP: <5,5>; 
EQS: <5,8>; 
EQR: <5,7>; 
EQU: <5,10>; 
EQT: <5,9>; 
EQW: <5,2>; 
EQV: <5,1>; 
EQY: <5,4>; 
EQX: <5,3>; 
ERB: <5,6>; 
ERA: <5,5>; 
ERD: <5,8>; 
ERC: <5,7>; 
ERF: <5,10>; 
ERE: <5,9>; 
ERH: <5,2>; 
ERG: <5,1>; 
ERJ: <5,4>; 
ERI: <5,3>; 
ERL: <5,6>; 
ERK: <5,5>; 
ERN: <5,8>; 
ERM: <5,7>; 
ERP: <5,10>; 
ERO: <5,9>; 
ERR: <5,2>; 
ERQ: <5,1>; 
ERT: <5,4>; 
ERS: <5,3>; 
ERV: <5,6>; 
ERU: <5,5>; 
ERX: <5,8>; 
ERW: <5,7>; 
ERY: <5,9>; 
ESA: <5,10>; 
ESC: <5,2>; 
ESB: <5,1>; 
ESE: <5,4>; 
ESD: <5,3>; 
ESG: <5,6>; 
ESF: <5,5>; 
ESI: <5,8>; 
ESH: <5,7>; 
ESK: <5,10>; 
ESJ: <5,9>; 
ESM: <5,2>; 
ESL: <5,1>; 
ESO: <5,4>; 
ESN: <5,3>; 
ESQ: <5,6>; 
ESP: <5,5>; 
ESS: <5,8>; 
ESR: <5,7>; 
ESU: <5,10>; 
